Nombre,Descripcion
Hariyama,They love to compare their freakish strength— strength enough to send a truck flying with a single slap.
Haunter,It fears the light and revels in the dark. It may be on the verge of extinction in cities that stay brightly lit at night.
Hawlucha,With its wings it controls its position in the air. It likes to attack from above a maneuver that is difficult to defend against.
Haxorus,Their sturdy tusks will stay sharp even if used to cut steel beams. These Pokémon are covered in hard armor.
Heatmor,It draws in air through its tail transforms it into fire and uses it like a tongue. It melts Durant and eats them.
Heatran,Boiling blood like magma circulates through its body. It makes its dwelling place in volcanic caves.
Heliolisk,It stimulates its muscles with electricity boosting the strength in its legs and enabling it to run 100 yards in five seconds.
Helioptile,The frills on either side of its head have cells that generate electricity when exposed to sunlight.
Heracross,Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree giving the Pokémon a secure and solid footing to forcefully fling away foes with its proud horn.
Herdier,This Pokémon obeys its master’s orders faithfully. However it refuses to listen to anything said by a person it doesn’t respect.
Hippopotas,It enshrouds itself with sand to protect itself from germs. It does not enjoy getting wet.
Hippowdon,It blasts internally stored sand from ports on its body to create a towering twister for attack.
Hitmonchan,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.
Hitmonlee,Hitmonlee’s legs freely contract and stretch. Using these springlike legs it bowls over foes with devastating kicks. After battle it rubs down its legs and loosens the muscles to overcome fatigue.
Hitmontop,Hitmontop spins on its head at high speed all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking.
Ho-oh,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.
Honchkrow,If its Murkrow cronies fail to catch food for it or if it feels they have betrayed it it will hunt them down wherever they are and punish them.
Honedge,If anyone dares to grab its hilt it wraps a blue cloth around that person’s arm and drains that person’s life energy completely.
Hoopa,It is said to be able to seize anything it desires with its six rings and six huge arms. With its power sealed it is transformed into a much smaller form.
Hoothoot,Hoothoot has an internal organ that senses and tracks the earth’s rotation. Using this special organ this Pokémon begins hooting at precisely the same time every day.
Hoppip,This Pokémon drifts and floats with the wind. If it senses the approach of strong winds Hoppip links its leaves with other Hoppip to prepare against being blown away.
Horsea,If Horsea senses danger it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back.
Houndoom,In a Houndoom pack the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves.
Houndour,Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokémon’s remarkable teamwork is unparalleled.
Huntail,Huntail’s tail is shaped like a fish. It uses the tail to attract prey then swallows the prey whole with its large gaping mouth. This Pokémon swims by wiggling its slender body like a snake.
Hydreigon,It responds to movement by attacking. This scary three-headed Pokémon devours everything in its path!
Hypno,As a matter of course it makes anyone it meets fall asleep and has a taste of their dreams. Anyone having a good dream it carries off.
Igglybuff,It moves by bouncing along. As it moves a lot it sweats and its body gives off a sweet aroma.
Illumise,Illumise leads a flight of illuminated Volbeat to draw signs in the night sky. This Pokémon is said to earn greater respect from its peers by composing more complex designs in the sky.
Incineroar,After hurling ferocious punches and flinging furious kicks it finishes opponents off by spewing fire from around its navel.
Infernape,It tosses its enemies around with agility. It uses all its limbs to fight in its own unique style.
Inkay,It flashes the light-emitting spots on its body which drains its opponent’s will to fight. It takes the opportunity to scuttle away and hide.
Ivysaur,There is a bud on this Pokémon’s back. To support its weight Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight it’s a sign that the bud will bloom into a large flower soon.
Jangmo-o,They live in mountains where no trace of humans can be detected. Jangmo-o grow little by little as they battle one another.
Jellicent,The fate of the ships and crew that wander into Jellicent’s habitat: all sunken all lost all vanished.
Jigglypuff,Jigglypuff possess a vocal range that exceeds 12 octaves but each individual’s singing skill depends on its own effort.
Jirachi,Jirachi will awaken from its sleep of a thousand years if you sing to it in a voice of purity. It is said to make true any wish that people desire.
Jolteon,When its fur stands on end that’s a sign it’s about to give off a jolt of electricity. Take care as sometimes lightning strikes next to it too.
Joltik,They attach themselves to large-bodied Pokémon and absorb static electricity which they store in an electric pouch.
Jumpluff,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.
Jynx,Jynx walks rhythmically swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring people seeing it are compelled to shake their hips without giving any thought to what they are doing.
Kabuto,Kabuto is a Pokémon that has been regenerated from a fossil. However in extremely rare cases living examples have been discovered. The Pokémon has not changed at all for 300 million years.
Kabutops,Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.
Kadabra,Kadabra’s presence infests televisions and monitors with creepy shadows that bring bad luck.
Kakuna,Kakuna remains virtually immobile as it clings to a tree. However on the inside it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.
Kangaskhan,The child in its pouch leaves home after roughly three years. That is the only time the mother is heard to cry wildly.
Karrablast,For some reason they evolve when they receive electrical energy while they are attacking Shelmet.
Kartana,One of the Ultra Beast life-forms it was observed cutting down a gigantic steel tower with one stroke of its blade.
Kecleon,Kecleon alters its body coloration to blend in with its surroundings allowing it to sneak up on its prey unnoticed. Then it lashes out with its long stretchy tongue to instantly ensnare the unsuspecting target.
Keldeo,When it is resolute its body fills with power and it becomes swifter. Its jumps are then too fast to follow.
Kingdra,Kingdra sleeps on the seafloor where it is otherwise devoid of life. When a storm arrives the Pokémon is said to awaken and wander about in search of prey.
Kingler,Kingler has an enormous oversized claw. It waves this huge claw in the air to communicate with others. However because the claw is so heavy the Pokémon quickly tires.
Kirlia,Kirlia uses the horns on its head to amplify its psychokinetic power. When the Pokémon uses its power the air around it becomes distorted creating mirages of nonexistent scenery.
Klang,A minigear and big gear comprise its body. If the minigear it launches at a foe doesn’t return it will die.
Klefki,It inserts its horn into chinks in metal absorbing metal ions. For some reason it collects keys.
Klink,The two minigears that mesh together are predetermined. Each will rebound from other minigears without meshing.
Klinklang,Its red core functions as an energy tank. It fires the charged energy through its spikes into an area.
Koffing,Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature the more gas is concocted by this Pokémon.
Komala,The log it holds was given to it by its parents at birth. It has also been known to cling to the arm of a friendly Trainer.
Kommo-o,Its rigid scales function as offense and defense. In the past its scales were processed and used to make weapons and other commodities.
Krabby,Krabby live on beaches burrowed inside holes dug into the sand. On sandy beaches with little in the way of food these Pokémon can be seen squabbling with each other over territory.
Kricketot,When its antennae hit each other it sounds like the music of a xylophone.
Kricketune,It signals its emotions with its melodies. Scientists are studying these melodic patterns.
Krokorok,Thanks to the special membrane covering its eyes it can see its surroundings clearly even in the middle of the night.
Krookodile,After clamping down with its powerful jaws it twists its body around to rip its prey in half.
Kyogre,Kyogre is said to be the personification of the sea itself. Legends tell of its many clashes against Groudon as each sought to gain the power of nature.
Kyurem,It generates a powerful freezing energy inside itself but its body became frozen when the energy leaked out.
Lairon,Lairon feeds on iron contained in rocks and water. It makes its nest on mountains where iron ore is buried. As a result the Pokémon often clashes with humans mining the iron ore.
Lampent,It arrives near the moment of death and steals spirit from the body.
Landorus,From the forces of lightning and wind it creates energy to give nutrients to the soil and make the land abundant.
Lanturn,This Pokémon flashes a bright light that blinds its prey. This creates an opening for it to deliver an electrical attack.
Lapras,These Pokémon were once near extinction due to poaching. Following protective regulations there is now an overabundance of them.
Larvesta,The base of volcanoes is where they make their homes. They shoot fire from their five horns to repel attacking enemies.
Larvitar,Larvitar is born deep under the ground. To come up to the surface this Pokémon must eat its way through the soil above. Until it does so Larvitar cannot see its parents.
Latias,Latias is highly intelligent and capable of understanding human speech. It is covered with a glass-like down. The Pokémon enfolds its body with its down and refracts light to alter its appearance.
Latios,Latios will only open its heart to a Trainer with a compassionate spirit. This Pokémon can fly faster than a jet plane by folding its forelegs to minimize air resistance.
Leafeon,The younger they are the more they smell like fresh grass. With age their fragrance takes on the odor of fallen leaves.
Leavanny,It keeps its eggs warm with heat from fermenting leaves. It also uses leaves to make warm wrappings for Sewaddle.
Ledian,In battle it throws punches with all four arms. The power of each individual blow is piddly so it aims to win by quantity rather than quality.
Ledyba,They communicate with one another using bodily fluids that give off odors. When they’re angry their odor smells sour.
Lickilicky,Their saliva contains lots of components that can dissolve anything. The numbness caused by their lick does not dissipate.
Lickitung,Whenever Lickitung comes across something new it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.
Liepard,Stealthily it sneaks up on its target striking from behind before its victim has a chance to react.
Lileep,Lileep is an ancient Pokémon that was regenerated from a fossil. It remains permanently anchored to a rock. From its immobile perch this Pokémon intently scans for prey with its two eyes.
Lilligant,As soon as it finds a male to be its partner the beautiful flower on its head darkens droops and withers away.
Lillipup,The long fur surrounding its face functions as radar enabling it to probe the condition of its battle opponents.
Linoone,When hunting Linoone will make a beeline straight for the prey at a full run. While this Pokémon is capable of topping 60 mph it has to come to a screeching halt before it can turn.
Litleo,They set off on their own from their pride and live by themselves to become stronger. These hot-blooded Pokémon are quick to fight.
Litten,It doesn’t allow its emotions to be easily seen. Earning its trust takes time. It prefers solitude.
Litwick,Litwick shines a light that absorbs the life energy of people and Pokémon which becomes the fuel that it burns.
Lombre,Lombre’s entire body is covered by a slippery slimy film. It feels horribly unpleasant to be touched by this Pokémon’s hands. Lombre is often mistaken for a human child.
Lopunny,The ears appear to be delicate. If they are touched roughly it kicks with its graceful legs.
Lotad,Lotad is said to have dwelled on land before. However this Pokémon is thought to have returned to water because the leaf on its head grew large and heavy. It now lives by floating atop the water.
Loudred,Loudred shouts while stamping its feet. After it finishes shouting this Pokémon becomes incapable of hearing anything for a while. This is considered to be a weak point.
Lucario,They can detect the species of a living being— and its emotions—from over half a mile away. They control auras and hunt their prey in packs.
Ludicolo,Upon hearing an upbeat and cheerful rhythm the cells in Ludicolo’s body become very energetic and active. Even in battle this Pokémon will exhibit an amazing amount of power.
Lugia,Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result this Pokémon chooses to live out of sight deep under the sea.
Lumineon,This deep-sea Pokémon lives at the bottom of the sea. Its fins haul it over the seabed in search of its favorite food—Starmie.
Lunala,Said to live in another world this Pokémon devours light drawing the moonless dark veil of night over the brightness of day.
Lunatone,Lunatone becomes active around the time of the full moon. Instead of walking it moves by floating in midair. The Pokémon’s intimidating red eyes cause all those who see it to become transfixed with fear.
Lurantis,It fires beams from its sickle-shaped petals. These beams are powerful enough to cleave through thick metal plates.
Luvdisc,Loving couples have a soft spot for this Pokémon so honeymoon hotels often release this Pokémon into their pools.
Luxio,Strong electricity courses through the tips of its sharp claws. A light scratch causes fainting in foes.
Luxray,When its eyes gleam gold it can spot hiding prey—even those taking shelter behind a wall.
Lycanroc,When properly raised from a young age it will become a trustworthy partner that will absolutely never betray its Trainer.
Machamp,It can lift heavy loads with the greatest of ease. It can even heft dump trucks. But its clumsy fingers prevent it from doing any precision work.
Machoke,It willingly assists with hard labor because it knows the work is good training for its muscles.
Machop,With its superhuman strength it’s able to throw a hundred people all at the same time. Its strength comes from lifting Graveler every day.
Magby,A famous potter lives with a Magby. Apparently its soft flames produce fine works.
Magcargo,Magcargo’s body temperature is approximately 18000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain the raindrops instantly turn into steam cloaking the area in a thick fog.
Magearna,Its mechanized body is merely a vessel. Its true self is its Soul-Heart an artificial soul.
Magikarp,Its reckless leaps make it easy pickings for predators. On the bright side many Pokémon enjoy longer life spans thanks to Magikarp.
Magmar,When angered it spouts brilliant fire from all over its body. It doesn’t calm down until its opponent has burned to ash.
Magmortar,From its arm it launches fireballs hotter than 3500 degrees Fahrenheit. Its arm starts to melt when it fires a whole barrage.
Magnemite,It sends out electromagnetic waves which let it float through the air. Touching it while it’s eating electricity will give you a full-body shock.
Magneton,It has about three times the electrical power of Magnemite. For some reason outbreaks of this Pokémon happen when lots of sunspots appear.
Magnezone,As it zooms through the sky this Pokémon seems to be receiving signals of unknown origin while transmitting signals of unknown purpose.
Makuhita,Their daily routine consists of training together first thing in the morning eating and napping in the afternoon and then more training afterward.
Malamar,It lures its prey close with hypnotic motions then wraps its tentacles around it before finishing it off with digestive fluids.
Mamoswine,Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.
Manaphy,It starts its life with a wondrous power that permits it to bond with any kind of Pokémon.
Mandibuzz,It circles in the sky keeping a keen eye out for Pokémon in a weakened state. Its choicest food is Cubone.
Manectric,Manectric discharges strong electricity from its mane. The mane is used for collecting electricity in the atmosphere. This Pokémon creates thunderclouds above its head.
Mankey,Its raging tires it out and causes it to fall asleep but the anger resonating in its dreams causes it to wake up—which infuriates it all over again.
Mantine,On sunny days schools of Mantine can be seen elegantly leaping over the sea’s waves. This Pokémon is not bothered by the Remoraid that hitches rides.
Mantyke,When it swims close to the surface of the ocean people aboard ships are able to observe the pattern on its back.
Maractus,Arid regions are their habitat. They move rhythmically making a sound similar to maracas.
Mareanie,It’s found crawling on beaches and seafloors. The coral that grows on Corsola’s head is as good as a five-star banquet to this Pokémon.
Mareep,Mareep’s fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged the more brightly the lightbulb at the tip of its tail glows.
Marill,When fishing for food at the edge of a fast-running stream Marill wraps its tail around the trunk of a tree. This Pokémon’s tail is flexible and configured to stretch.
Marowak,This Pokémon is out for vengeance on its natural enemy Mandibuzz. It throws bones like boomerangs to try to take it down.
Marshadow,It lurks in the shadows of others copying their movements and powers. This Pokémon is craven and cowering.
Marshtomp,Marshtomp is much faster at traveling through mud than it is at swimming. This Pokémon’s hindquarters exhibit obvious development giving it the ability to walk on just its hind legs.
Masquerain,Its wings and antennae don’t cope well with moisture. After a rain it faces sunward to dry off.
Mawile,Don’t be taken in by this Pokémon’s cute face—it’s very dangerous. Mawile fools the foe into letting down its guard then chomps down with its massive jaws. The steel jaws are really horns that have been transformed.
Medicham,Through the power of meditation Medicham developed its sixth sense. It gained the ability to use psychokinetic powers. This Pokémon is known to meditate for a whole month without eating.
Meditite,Meditite heightens its inner energy through meditation. It survives on just one berry a day. Minimal eating is another aspect of this Pokémon’s training.
Meganium,The fragrance of Meganium’s flower soothes and calms emotions. In battle this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.
Meloetta,Its melodies are sung with a special vocalization method that can control the feelings of those who hear it.
Meowstic,The eyeball patterns on the interior of its ears emit psychic energy. It keeps the patterns tightly covered because that power is too immense.
Meowth,It loves shiny things. It often fights with Murkrow over prey they’re both trying to catch.
Mesprit,It sleeps at the bottom of a lake. Its spirit is said to leave its body to fly on the lake’s surface.
Metagross,A linkage of two Metang this Pokémon can perform any calculation in a flash by utilizing parallel processing in its four brains.
Metang,It adores magnetic minerals so it pursues Nosepass at speeds exceeding 60 mph.
Metapod,Its shell is hard but it’s still just a bug shell. It’s been known to break so intense battles with it should be avoided.
Mew,Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will so it entirely avoids notice even if it approaches people.
Mewtwo,Mewtwo is a Pokémon that was created by genetic manipulation. However even though the scientific power of humans created this Pokémon’s body they failed to endow Mewtwo with a compassionate heart.
Mienfoo,In fights they dominate with onslaughts of flowing continuous attacks. With their sharp claws they cut enemies.
Mienshao,Using the long fur on its arms like whips it launches into combo attacks that once started no one can stop.
Mightyena,Mightyena travel and act as a pack in the wild. The memory of its life in the wild compels the Pokémon to obey only those Trainers that it recognizes to possess superior skill.
Milotic,It lives at the bottom of clear lakes. In times of war it shows itself which soothes people’s minds and hearts.
Miltank,Most people raise it for its milk but it’s quite tough and strong so it’s also well suited for battle.
Mime Jr.,It habitually mimics foes. Once mimicked the foe cannot take its eyes off this Pokémon.
Mimikyu,A lonely Pokémon it conceals its terrifying appearance beneath an old rag so it can get closer to people and other Pokémon.
Minccino,These Pokémon prefer a tidy habitat. They are always sweeping and dusting using their tails as brooms.
Minior,Strong impacts can knock it out of its shell. This Pokémon was born from mutated nanoparticles.
Minun,Minun loves to cheer on its partner in battle. It gives off sparks from its body while it is doing so. If its partner is in trouble this Pokémon gives off increasing amounts of sparks.
Misdreavus,If you hear a sobbing sound emanating from a vacant room it’s undoubtedly a bit of mischief from Misdreavus.
Mismagius,Mismagius have been known to cast spells to make people fall in love so some people search for this Pokémon as if their life depended on it.
Moltres,Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured it is said to dip its body in the molten magma of a volcano to burn and heal itself.
Monferno,It uses ceilings and walls to launch aerial attacks. Its fiery tail is but one weapon.
Morelull,As it drowses the day away it nourishes itself by sucking from tree roots. It wakens at the fall of night wandering off in search of a new tree.
Mothim,It flutters around at night and steals honey from the Combee hive.
Mr. Mime,Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced the unseeable thing exists as if it were real.
Mudbray,It has a stubborn individualistic disposition. Eating dirt making mud and playing in the mire all form part of its daily routine.
Mudkip,In water Mudkip breathes using the gills on its cheeks. If it is faced with a tight situation in battle this Pokémon will unleash its amazing power—it can crush rocks bigger than itself.
Mudsdale,Its heavy mud-covered kicks are its best means of attack and it can reduce large trucks to scrap without breaking a sweat.
Muk,After recent environmental improvements this Pokémon is now hardly seen at all. People speculate that it may go extinct at some point.
Munchlax,When it finds something that looks like it might be edible it goes right ahead and swallows it whole. That’s why it gets fatter day by day.
Munna,It eats the dreams of people and Pokémon. When it eats a pleasant dream it expels pink-colored mist.
Murkrow,Seen as a symbol of bad luck it’s generally disliked. Yet it gives presents—objects that sparkle or shine—to Trainers it’s close to.
Musharna,The dream mist coming from its forehead changes into many different colors depending on the dream that was eaten.
Natu,Natu has a highly developed jumping ability. The Pokémon flaps and leaps onto tree branches that are taller than grown-up people to pick at the tree’s new shoots.
Necrozma,Light is apparently the source of its energy. It has an extraordinarily vicious disposition and is constantly firing off laser beams.
Nidoking,Nidoking’s thick tail packs enormously destructive power. With one swing it can topple a metal transmission tower. Once this Pokémon goes on a rampage there is no stopping it.
Nidoqueen,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.
Nidoran♀,Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged it releases a horrible toxin from its horn.
Nidoran♂,Nidoran♂ has developed muscles for moving its ears. Thanks to them the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon’s notice.
Nidorina,When Nidorina are with their friends or family they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.
Nidorino,Nidorino has a horn that is harder than a diamond. If it senses a hostile presence all the barbs on its back bristle up at once and it challenges the foe with all its might.
Nihilego,One of the Ultra Beasts. It’s unclear whether or not this Pokémon is sentient but sometimes it can be observed behaving like a young girl.
Nincada,Nincada lives underground. It uses its sharp claws to carve the roots of trees and absorb moisture and nutrients. This Pokémon can’t withstand bright sunlight so avoids it.
Ninetales,Said to live for a thousand years this Pokémon uses its supernatural abilities to manipulate fire. It can burn its prey to a crisp as it pleases.
Ninjask,If Ninjask is not trained properly it will refuse to obey the Trainer and cry loudly continuously. Because of this quality this Pokémon is said to be one that puts the Trainer’s abilities to the test.
Noctowl,Noctowl never fails at catching prey in darkness. This Pokémon owes its success to its superior vision that allows it to see in minimal light and to its soft supple wings that make no sound in flight.
Noibat,Even a robust wrestler will become dizzy and unable to stand when exposed to its 200000-hertz ultrasonic waves.
Noivern,The ultrasonic waves it emits from its ears can reduce a large boulder to pebbles. It swoops out of the dark to attack.
Nosepass,It uses powerful magnetism to drag its prey toward it. It’s also been known to pull in metal which it collects and uses to protect itself.
Numel,Numel stores magma of almost 2200 degrees Fahrenheit within its body. If it gets wet the magma cools and hardens. In that event the Pokémon’s body grows heavy and its movements become sluggish.
Nuzleaf,This Pokémon pulls out the leaf on its head and makes a flute with it. The sound of Nuzleaf’s flute strikes fear and uncertainty in the hearts of people lost in a forest.
Octillery,Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong Octillery spews ink to escape.
Oddish,Oddish searches for fertile nutrient-rich soil then plants itself. During the daytime while it is planted this Pokémon’s feet are thought to change shape and become similar to the roots of trees.
Omanyte,Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy it withdraws itself inside its hard shell.
Omastar,Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy causing its movements to become too slow and ponderous.
Onix,Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older its body becomes increasingly rounder and smoother.
Oranguru,Deep in the jungle high in the lofty canopy this Pokémon abides. On rare occasions it shows up at the beach to match wits with Slowking.
Oricorio,This Oricorio has sipped red nectar. Its passionate dance moves cause its enemies to combust in both body and mind.
Oshawott,The scalchop on its stomach isn’t just used for battle—it can be used to break open hard berries as well.
Pachirisu,A pair may be seen rubbing their cheek pouches together in an effort to share stored electricity.
Palkia,It has the ability to distort space. It is described as a deity in Sinnoh-region mythology.
Palossand,Buried beneath the castle are masses of dried-up bones from those whose vitality it has drained.
Palpitoad,It lives in the water and on land. It uses its long sticky tongue to immobilize its opponents.
Pancham,There’s no point to the leaf in its mouth aside from an effort to look cool. It’s mischievous so it’s not well suited to inexperienced Trainers.
Pangoro,From the slight twitches of its bamboo leaf it deduces its opponent’s movements. It’s eager to tussle but kindhearted toward its companions.
Panpour,The water stored inside the tuft on its head is full of nutrients. Plants that receive its water grow large.
Pansage,It’s good at finding berries and gathers them from all over. It’s kind enough to share them with friends.
Pansear,This Pokémon lives in caves in volcanoes. The fire within the tuft on its head can reach 600 degrees Fahrenheit.
Paras,Mushrooms called tochukaso sprout from its back. They can be dried and powdered to make a medicine used to extend life.
Parasect,It scatters toxic spores from its mushroom cap. Once harvested these spores can be steeped and boiled down to prepare herbal medicines.
Passimian,They battle with hard berries for weapons. Their techniques are passed from the boss to the group generation upon generation.
Patrat,Extremely cautious one of them will always be on the lookout but it won’t notice a foe coming from behind.
Pawniard,Ignoring their injuries groups attack by sinking the blades that cover their bodies into their prey.
Pelipper,Gathering food is the work of young males. They store food in their capacious beaks and carry it back to others waiting in the nest.
Persian,It has a high opinion of itself although not to the same extent as the Alolan Persian. It’s quite difficult to make friends with this Pokémon.
Petilil,By pruning the leaves on its head with regularity this Pokémon can be grown into a fine plump shape.
Phanpy,Phanpy uses its long nose to shower itself. When others gather around they thoroughly douse each other with water. These Pokémon can be seen drying their soaking-wet bodies at the edge of water.
Phantump,According to legend medicine to cure any illness can be made by plucking the green leaves on its head brewing them and boiling down the liquid.
Pheromosa,One of the Ultra Beasts. It refuses to touch anything perhaps because it senses some uncleanness in this world.
Phione,It drifts in warm seas. It always returns to where it was born no matter how far it may have drifted.
Pichu,Despite this Pokémon’s cute appearance those who want to live with one should prepare to be on the receiving end of its electric jolts.
Pidgeot,This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head compelling them to choose Pidgeot as their Pokémon.
Pidgeotto,Pidgeotto claims a large area as its own territory. This Pokémon flies around patrolling its living space. If its territory is violated it shows no mercy in thoroughly punishing the foe with its sharp claws.
Pidgey,Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest however far it may be removed from its familiar surroundings.
Pidove,These Pokémon live in cities. They are accustomed to people. Flocks often gather in parks and plazas.
Pignite,When its internal fire flares up its movements grow sharper and faster. When in trouble it emits smoke.
Pikachu,It’s in its nature to store electricity. It feels stressed now and then if it’s unable to fully discharge the electricity.
Pikipek,This Pokémon feeds on berries whose leftover seeds become the ammunition for the attacks it fires off from its mouth.
Piloswine,Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.
Pineco,Pineco hangs from a tree branch and patiently waits for prey to come along. If the Pokémon is disturbed while eating by someone shaking its tree it drops down to the ground and explodes with no warning.
Pinsir,One solid blow from its horns is enough to split apart a large tree. Its greatest rival in Alola is Vikavolt.
Piplup,Because it is very proud it hates accepting food from people. Its thick down guards it from cold.
Plusle,When Plusle is cheering on its partner it flashes with electric sparks from all over its body. If its partner loses this Pokémon cries loudly.
Politoed,It’s the leader of Poliwag and Poliwhirl. When Politoed roars they all cower in fear.
Poliwag,It’s still not very good at walking. Its Trainers should train this Pokémon to walk every day.
Poliwhirl,It marches over the land in search of bug Pokémon to eat. Then it takes them underwater so it can dine on them where it’s safe.
Poliwrath,Its percentage of body fat is nearly zero. Its body is entirely muscle which makes it heavy and forces its swimming prowess to develop.
Ponyta,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.
Poochyena,Poochyena is an omnivore—it will eat anything. A distinguishing feature is how large its fangs are compared to its body. This Pokémon tries to intimidate its foes by making the hair on its tail bristle out.
Popplio,This Pokémon can control water bubbles. It practices diligently so it can learn to make big bubbles.
Porygon,It can convert its body into digital data which enables it to enter cyberspace.
Porygon-Z,Its program was modified to facilitate extra-dimensional activities but that led to noticeably strange behavior.
Porygon2,Porygon was updated to a new version in readiness for planetary development. But that dream remains unrealized as yet.
Primarina,Its singing voice is its chief weapon in battle. This Pokémon’s Trainer must prioritize the daily maintenance of its throat at all costs.
Primeape,Some researchers theorize that Primeape remains angry even when inside a Poké Ball.
Prinplup,It lives a solitary life. Its wings deliver wicked blows that can snap even the thickest of trees.
Probopass,The main body controls three mobile units called Mini-Noses which it maneuvers to catch prey.
Psyduck,This Pokémon is troubled by constant headaches. The more pain it’s in the more powerful its psychokinesis becomes.
Pumpkaboo,It is said to carry wandering spirits to the place where they belong so they can move on.
Pupitar,Pupitar creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable—it avoids damage even if it hits solid steel.
Purrloin,They steal from people for fun but their victims can’t help but forgive them. Their deceptively cute act is perfect.
Purugly,To make itself appear intimidatingly beefy it tightly cinches its waist with its twin tails.
Pyroar,With fiery breath of more than 10000 degrees Fahrenheit they viciously threaten any challenger. The females protect the pride’s cubs.
Pyukumuku,These Pokémon line the beaches. The sticky mucous that covers their bodies can be used to soothe sunburned skin. How convenient!
Quagsire,Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move it does not get very hungry.
Quilava,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.
Quilladin,They strengthen their lower bodies by running into one another. They are very kind and won’t start fights.
Qwilfish,Qwilfish sucks in water inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.
Raichu,It becomes aggressive when it has electricity stored up. At such times even its Trainer has to take care to avoid being attacked.
Raikou,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.
Ralts,Ralts has the ability to sense the emotions of people. If its Trainer is in a cheerful mood this Pokémon grows cheerful and joyous in the same way.
Rampardos,Records exist of a revived fossil that evolved into Rampardos. It proceeded to escape and then destroy a skyscraper with a headbutt.
Rapidash,Rapidash usually can be seen casually cantering in the fields and plains. However when this Pokémon turns serious its fiery manes flare and blaze as it gallops its way up to 150 mph.
Raticate,Its disposition is far more violent than its looks would suggest. Don’t let your hand get too close to its face as it could bite your hand clean off.
Rattata,With their strong capacity for survival they can live in dirty places without concern. Left unchecked their numbers multiply rapidly.
Rayquaza,It flies forever through the ozone layer consuming meteoroids for sustenance. The many meteoroids in its body provide the energy it needs to Mega Evolve.
